group,Verb,Preamble,Sentence,Category,Audio,Image1,Image2,Matching,Preamble_English,Sentence_English,item_start,item_end,offset
A,build,Soğuk bir kış sabahıydı.,Büyük bir kardan adam yapıyordu yaşlı amca hevesli bir şekilde.,Imp,merged_build_Imp.wav,build snowman 0.jpg,build snowman 1.jpg,f,It was a crisp winter morning.,"Grandpa was building a big snowman,",put start and end in ms,,
B,build,Soğuk bir kış sabahıydı.,Büyük bir kardan adam yaptı yaşlı amca hevesli bir şekilde.,Pf,merged_build_Pf.wav,build snowman 1.jpg,build snowman 0.jpg,f,It was a crisp winter morning.,"Grandpa built a big snowman,",,,
A,color,Okulda etkinlik zamanıydı.,Güzel bir resmi boyuyordu çocuk büyük bir heyecanla. ,Imp,merged_color_Imp.wav,color drawing 0.jpg,color drawing 1.jpg,f,,,,,
B,color,Okulda etkinlik zamanıydı.,Güzel bir resmi boyadı çocuk büyük bir heyecanla. ,Pf,merged_color_Pf.wav,color drawing 1.jpg,color drawing 0.jpg,f,,,,,
A,slice,Öğle yemeği vaktiydi. ,Diyarbakır karpuzunu kesiyordu Ayşe teyze hızlı bir şekilde.,Imp,merged_slice_Imp.wav,slice watermelon 0.jpg,slice watermelon 1.jpg,f,It was time for lunch.,Grandma was slicing a juicy watermelon.,,,
B,slice,Öğle yemeği vaktiydi. ,Diyarbakır karpuzunu kesti Ayşe teyze hızlı bir şekilde.,Pf,merged_slice_Pf.wav,slice watermelon 1.jpg,slice watermelon 0.jpg,f,It was time for lunch.,Grandma sliced a juicy watermelon.,,,
A,dig,Hava açık ve güneşliydi. ,Derin bir çukur kazıyordu yaşlı amca yorgun bir şekilde.,Imp,merged_dig_Imp.wav,dig hole 0.jpg,dig hole 1.jpg,f,,,,,
B,dig,Hava açık ve güneşliydi. ,Derin bir çukur kazdı yaşlı amca yorgun bir şekilde.,Pf,merged_dig_Pf.wav,dig hole 1.jpg,dig hole 0.jpg,f,,,,,
A,draw,Okulda etkinlik zamanıydı.,Uzunca bir vazo çiziyordu kız mutlu bir şekilde.,Imp,merged_draw_Imp.wav,draw vase 0.jpg,draw vase 1.jpg,f,,,,,
B,draw,Okulda etkinlik zamanıydı.,Uzunca bir vazo çizdi kız mutlu bir şekilde.,Pf,merged_draw_Pf.wav,draw vase 1.jpg,draw vase 0.jpg,f,,,,,
A,drill,Evde bir sürü yapılacak iş vardı. ,Matkapla duvarı deliyordu yaşlı amca acele bir şekilde.,Imp,merged_drill_Imp.wav,drill hole 0.jpg,drill hole 1.jpg,f,,,,,
B,drill,Evde bir sürü yapılacak iş vardı. ,Matkapla duvarı deldi yaşlı amca acele bir şekilde.,Pf,merged_drill_Pf.wav,drill hole 1.jpg,drill hole 0.jpg,f,,,,,
A,fix,Haftasonu tatiliydi. ,Eski buzdolabını tamir ediyordu yaşlı amca yavaş hareketlerle.,Imp,merged_fix_Imp.wav,fix fridge 0.jpg,fix fridge 1.jpg,f,,,,,
B,fix,Haftasonu tatiliydi. ,Eski buzdolabını tamir etti yaşlı amca yavaş hareketlerle.,Pf,merged_fix_Pf.wav,fix fridge 1.jpg,fix fridge 0.jpg,f,,,,,
A,hang,Haftasonu tatiliydi. ,Güzel tabloyu duvara asıyordu Ayşe teyze büyük bir sevinçle.,Imp,merged_hang_Imp.wav,hang painting 0.jpg,hang painting 1.jpg,f,,,,,
B,hang,Haftasonu tatiliydi. ,Güzel tabloyu duvara astı Ayşe teyze büyük bir sevinçle.,Pf,merged_hang_Pf.wav,hang painting 1.jpg,hang painting 0.jpg,f,,,,,
A,iron,Akşama bir davet vardı.,Temiz gömleğini ütülüyordu yaşlı amca özene bezene. ,Imp,merged_iron_Imp.wav,iron shirt 0.jpg,iron shirt 1.jpg,f,,,,,
B,iron,Akşama bir davet vardı.,Temiz gömleğini ütüledi yaşlı amca özene bezene. ,Pf,merged_iron_Pf.wav,iron shirt 1.jpg,iron shirt 0.jpg,f,,,,,
A,knit,Tüm sabah ayaz vardı. ,Yeni bir kazak örüyordu Ayşe teyze keyifli bir şekilde.,Imp,merged_knit_Imp.wav,knit sweater 0.jpg,knit sweater 1.jpg,f,,,,,
B,knit,Tüm sabah ayaz vardı. ,Yeni bir kazak ördü Ayşe teyze keyifli bir şekilde.,Pf,merged_knit_Pf.wav,knit sweater 1.jpg,knit sweater 0.jpg,f,,,,,
A,light,Tüm sabah ayaz vardı. ,Şömineyi yakıyordu yaşlı amca huzurlu bir şekilde.,Imp,merged_light_Imp.wav,light fire 0.jpg,light fire 1.jpg,f,,,,,
B,light,Tüm sabah ayaz vardı. ,Şömineyi yaktı yaşlı amca huzurlu bir şekilde. ,Pf,merged_light_Pf.wav,light fire 1.jpg,light fire 0.jpg,f,,,,,
A,lock,Günün en sıcak vaktiydi.,Kapıyı kilitliyordu Ayşe teyze hızlı bir şekilde.,Imp,merged_lock_Imp.wav,lock door 0.jpg,lock door 1.jpg,f,,,,,
B,lock,Günün en sıcak vaktiydi.,Kapıyı kilitledi Ayşe teyze hızlı bir şekilde. ,Pf,merged_lock_Pf.wav,lock door 1.jpg,lock door 0.jpg,f,,,,,
A,open,Hava güzel ve sıcaktı. ,Büyük camı açıyordu kız büyük bir heyecanla.,Imp,merged_open_Imp.wav,open window 1.jpg,open window 0.jpg,j,,,,,
B,open,Hava güzel ve sıcaktı. ,Büyük camı açtı kız büyük bir heyecanla.,Pf,merged_open_Pf.wav,open window 0.jpg,open window 1.jpg,j,,,,,
A,paint,Evde bir sürü yapılacak iş vardı. ,Uzunca bir duvarı boyuyordu küçük kız mutlu bir şekilde.,Imp,merged_paint_Imp.wav,paint wall 1.jpg,paint wall 0.jpg,j,,,,,
B,paint,Evde bir sürü yapılacak iş vardı. ,Uzunca bir duvarı boyadı küçük kız mutlu bir şekilde. ,Pf,merged_paint_Pf.wav,paint wall 0.jpg,paint wall 1.jpg,j,,,,,
A,plant,Hava açık ve güneşliydi. ,Çiçeği ekiyordu Ayşe teyze keyifli bir şekilde. ,Imp,merged_plant_Imp.wav,plant flower 1.jpg,plant flower 0.jpg,j,,,,,
B,plant,Hava açık ve güneşliydi. ,Çiçeği ekti Ayşe teyze keyifli bir şekilde. ,Pf,merged_plant_Pf.wav,plant flower 0.jpg,plant flower 1.jpg,j,,,,,
A,sharpen,Okulun ilk günüydü.,Sarı kalemini açıyordu çocuk büyük bir gururla. ,Imp,merged_sharpen_Imp.wav,sharpen pencil 1.jpg,sharpen pencil 0.jpg,j,,,,,
B,sharpen,Okulun ilk günüydü.,Sarı kalemini açtı çocuk büyük bir gururla.,Pf,merged_sharpen_Pf.wav,sharpen pencil 0.jpg,sharpen pencil 1.jpg,j,,,,,
A,sweep,Akşama bir davet vardı. ,Dar koridoru süpürüyordu çocuk titiz bir şekilde.,Imp,merged_sweep_Imp.wav,sweep corridor 1.jpg,sweep corridor 0.jpg,j,,,,,
B,sweep,Akşama bir davet vardı. ,Dar koridoru süpürdü çocuk titiz bir şekilde.,Pf,merged_sweep_Pf.wav,sweep corridor 0.jpg,sweep corridor 1.jpg,j,,,,,
A,clean,Sabahın erken saatleriydi. ,Küçük odayı temizliyordu çocuk kan ter içinde.,Imp,merged_clean_Imp.wav,clean room 1.jpg,clean room 0.jpg,j,,,,,
B,clean,Sabahın erken saatleriydi. ,Küçük odayı temizledi çocuk kan ter içinde.,Pf,merged_clean_Pf.wav,clean room 0.jpg,clean room 1.jpg,j,,,,,
A,water,Hava güzel ve sıcaktı. ,Çalılıkları suluyordu Ayşe teyze neşeli bir şekilde.,Imp,merged_water_Imp.wav,water plant 1.jpg,water plant 0.jpg,j,,,,,
B,water,Hava güzel ve sıcaktı. ,Çalılıkları suladı Ayşe  teyze neşeli bir şekilde.,Pf,merged_water_Pf.wav,water plant 0.jpg,water plant 1.jpg,j,,,,,
A,bake,Yağmurlu bir gündü.,Leziz bir kek yapıyordu Ayşe teyze büyük bir sevinçle.,Imp,merged_bake_Imp.wav,bake cake 1.jpg,bake cake 0.jpg,j,,,,,
B,bake,Yağmurlu bir gündü.,Leziz bir kek yaptı Ayşe teyze büyük bir sevinçle.,Pf,merged_bake_Pf.wav,bake cake 0.jpg,bake cake 1.jpg,j,,,,,
A,bury,Sakin bir akşamdı.,Tahta sandığı gömüyordu çocuk gizli bir şekilde.,Imp,merged_bury_Imp.wav,bury chest 1.jpg,bury chest 0.jpg,j,,,,,
B,bury,Sakin bir akşamdı.,Tahta sandığı gömdü çocuk gizli bir şekilde. ,Pf,merged_bury_Pf.wav,bury chest 0.jpg,bury chest 1.jpg,j,,,,,
A,buy,Mağazalar tıklım tıklımdı.,Yeni bir telefon alıyordu kız mutlu bir şekilde. ,Imp,merged_buy_Imp.wav,buy phone 1.jpg,buy phone 0.jpg,j,,,,,
B,buy,Mağazalar tıklım tıklımdı.,Yeni bir telefon aldı kız mutlu bir şekilde. ,Pf,merged_buy_Pf.wav,buy phone 0.jpg,buy phone 1.jpg,j,,,,,
A,eat,Öğle yemeği vaktiydi. ,Leziz balığı yiyordu kız büyük bir iştahla.,Imp,merged_eat_Imp.wav,eat fish 1.jpg,eat fish 0.jpg,j,,,,,
B,eat,Öğle yemeği vaktiydi. ,Leziz balığı yedi kız büyük bir iştahla. ,Pf,merged_eat_Pf.wav,eat fish 0.jpg,eat fish 1.jpg,j,,,,,
A,demolish,Öğle vaktiydi. ,Eski bir evi yıkıyordu yaşlı amca sakin bir şekilde.,Imp,merged_demolish_Imp.wav,demolish house 1.jpg,demolish house 0.jpg,j,,,,,
B,demolish,Öğle vaktiydi. ,Eski bir evi yıktı yaşlı amca sakin bir şekilde.,Pf,merged_demolish_Pf.wav,demolish house 0.jpg,demolish house 1.jpg,j,,,,,
A,F1_Egg,Market poşetini elinden düşürdü.,Güzel kadının aldığı yumurta birazdan kırılacak.,Filler,filler_egg.wav,brokenegg.jpeg,egg.jpeg,f,,,,,
A,F10_Frog,Parktaki gölde sıradan bir gün.,Büyük ağacın yanındaki kurbağa birazdan zıplayacak. ,Filler,filler_frog.wav,frogjump.jpeg,frog.jpeg,f,,,,,
A,F2_Baloon,Parkta aileler var. ,Dikkatsiz çocuğun balonu birazdan patlayacak.,Filler,filler_balloon.wav,balloonexplode.jpeg,balloon.jpeg,f,,,,,
A,F3_Cow,Çiftlikte güneşli bir sabah. ,Obur ineğin korktuğu arı birazdan uçacak. ,Filler,filler_cow.wav,beefly.jpeg,bee.jpeg,f,,,,,
A,F4_Zebra,Göldeki su ılıkmış.,Geveze zebranın balığı birazdan yüzecek.,Filler,filler_zebra.wav,fishswim.jpeg,fish.jpeg,f,,,,,
A,F5_Police,Dışarıda fırtına vardı.,Genç polisin bindiği gemi birazdan batacak. ,Filler,filler_police.wav,ship.jpeg,shipsink.jpeg,j,,,,,
A,F6_Nurse,Hastanede kibrit yok.,Yorgun hemşirenin odasındaki mum birazdan sönecek. ,Filler,filler_nurse.wav,candle.jpeg,candleburn.jpeg,j,,,,,
A,F7_Donkey,Çiftlikte hava çok güzel.,Şakacı kuzunun kovaladığı eşek birazdan koşacak.,Filler,filler_donkey.wav,donkey.jpeg,donkeyrun.jpeg,j,,,,,
A,F8_Penguin,Hava çok sıcak ve bunaltıcı.,Şaşkın penguenin yanındaki buz birazdan eriyecek. ,Filler,filler_penguin.wav,ice.jpeg,icemelt.jpeg,j,,,,,
A,F9_Teacher,Göl bugün çok sakin.,İyi öğretmenin beslediği ördek birazdan dalacak.,Filler,filler_teacher.wav,duck.jpeg,duckdive.jpeg,j,,,,,
A,Baby_OSV_break,Park bugün çok sakindi.,Şirin bebeği şuradaki köpek birazdan yalayacak.,OSV,baby_OSV_A.wav,dogbabycatch.jpeg,babyicecreamlick.jpeg,f,,,,,
A,Chick_OSV_break,Çocuk korkuyla arkasına bakıyor. ,Tatlı civcivi şuradaki kurt birazdan yutacak.,OSV,chick_OSV_A.wav,wolvechickeat.jpeg,chickcorneat.jpeg,f,,,,,
A,Girl_OSV_break,Kreştekiler neşeyle bağırıyor. ,Şeker kızı şuradaki kadın birazdan öpecek.,OSV,girl_OSV_A.wav,womangirlkiss.jpeg,girlpuppetkiss.jpeg,f,,,,,
A,Monkey_OSV_break,Seyirciler sahneye baktı.,Komik maymunu şuradaki aslan birazdan ısıracak.,OSV,monkey_OSV_A.wav,monkeybananaeat.jpeg,lionmonkeybite.jpeg,j,,,,,
A,Rabbit_OSV_break,Çiftlikte sıradan bir gün,Hızlı tavşanı şuradaki tilki birazdan yiyecek.,OSV,rabbit_OSV_A.wav,rabbitcarroteat.jpeg,foxrabbiteat.jpeg,j,,,,,
A,Bear_SOV_break,Arılar endişeyle etrafta uçuşuyorlar.,Tombul ayı şuradaki balı birazdan bulacak.,SOV,bear_SOV_A.wav,bearhoneyfind.jpeg,hunterbearfind.jpeg,f,,,,,
A,Child_SOV_break,Hava güzel ve sıcaktı. ,Küçük çocuk şuradaki topu birazdan tekmeleyecek.,SOV,child_SOV_A.wav,childballkick.jpeg,horsechildkick.jpeg,f,,,,,
A,GoodChild_SOV_break,Etrafta bir sakinlik hakimdi.,Uslu çocuk şuradaki oyuncağı birazdan kucaklayacak.,SOV,goodchild_SOV_A.wav,horsechildkick.jpeg,childteddycuddle.jpeg,j,,,,,
A,Mouse_SOV_break,Etrafta çok güzel bir koku var.,Minik fare şuradaki peyniri birazdan bulacak.,SOV,mouse_SOV_A.wav,catmousefind.jpeg,mousecheesefind.jpeg,j,,,,,
A,Squirrel_SOV_break,Parkta huzurlu bir gündü.,Ufak sincap şuradaki fındığı birazdan yiyecek.,SOV,squirrel_SOV_A.wav,wolvesquirreleat.jpeg,squirrelhazelnuteat.jpeg,j,,,,,
B,F1_Egg,Market poşetini elinden düşürdü.,Güzel kadının aldığı yumurta birazdan kırılacak .,Filler,filler_egg.wav,brokenegg.jpeg,egg.jpeg,f,,,,,
B,F10_Frog,Parktaki gölde sıradan bir gün.,Büyük ağacın yanındaki kurbağa birazdan zıplayacak. ,Filler,filler_frog.wav,frogjump.jpeg,frog.jpeg,f,,,,,
B,F2_Baloon,Parkta aileler var. ,Dikkatsiz çocuğun balonu birazdan patlayacak.,Filler,filler_balloon.wav,balloonexplode.jpeg,balloon.jpeg,f,,,,,
B,F3_Cow,Çiftlikte güneşli bir sabah. ,Obur ineğin korktuğu arı birazdan uçacak. ,Filler,filler_cow.wav,beefly.jpeg,bee.jpeg,f,,,,,
B,F4_Zebra,Göldeki su ılıkmış.,Geveze zebranın balığı birazdan yüzecek.,Filler,filler_zebra.wav,fish.jpeg,fishswim.jpeg,j,,,,,
B,F5_Police,Dışarıda fırtına vardı.,Genç polisin bindiği gemi birazdan batacak. ,Filler,filler_police.wav,ship.jpeg,shipsink.jpeg,j,,,,,
B,F6_Nurse,Hastanede kibrit yok.,Yorgun hemşirenin odasındaki mum birazdan sönecek. ,Filler,filler_nurse.wav,candle.jpeg,candleburn.jpeg,j,,,,,
B,F7_Donkey,Çiftlikte hava çok güzel.,Şakacı kuzunun kovaladığı eşek birazdan koşacak.,Filler,filler_donkey.wav,donkey.jpeg,donkeyrun.jpeg,j,,,,,
B,F8_Penguin,Hava çok sıcak ve bunaltıcı.,Şaşkın penguenin yanındaki buz birazdan eriyecek. ,Filler,filler_penguin.wav,icemelt.jpeg,ice.jpeg,f,,,,,
B,F9_Teacher,Göl bugün çok sakin.,İyi öğretmenin beslediği ördek birazdan dalacak.,Filler,filler_teacher.wav,duckdive.jpeg,duck.jpeg,f,,,,,
B,Bear_OSV_break,Arılar endişeyle etrafta uçuşuyorlar.,Tombul ayıyı şuradaki avcı birazdan bulacak.,OSV,bear_OSV_B.wav,hunterbearfind.jpeg,bearhoneyfind.jpeg,f,,,,,
B,GoodChild_OSV_break,Etrafta bir sakinlik hakimdi.,Uslu çocuğu şuradaki adam birazdan kucaklayacak.,OSV,goodchild_OSV_B.wav,childteddycuddle.jpeg,dadchildcuddle.jpeg,j,,,,,
B,Child_OSV_break,Hava güzel ve sıcaktı. ,Küçük çocuğu şuradaki at birazdan tekmeleyecek.,OSV,child_OSV_B.wav,childballkick.jpeg,horsechildkick.jpeg,j,,,,,
B,Mouse_OSV_break,Etrafta çok güzel bir koku var,Minik fareyi şuradaki kedi birazdan bulacak.,OSV,mouse_OSV_B.wav,mousecheesefind.jpeg,catmousefind.jpeg,j,,,,,
B,Squirrel_OSV_break,Parkta huzurlu bir gündü.,Ufak sincabı şuradaki kurt birazdan yiyecek.,OSV,squirrel_OSV_B.wav,squirrelhazelnuteat.jpeg,wolvesquirreleat.jpeg,j,,,,,
B,Baby_SOV_break,Park bugün çok sakindi.,Şirin bebek şuradaki dondurmayı birazdan yalayacak.,SOV,baby_SOV_B.wa,babyicecreamlick.jpeg,dogbabycatch.jpeg,f,,,,,
B,Chick_SOV_break,Çocuk korkuyla arkasına bakıyor. ,Tatlı civciv şuradaki mısırı birazdan yutacak.,SOV,chick_SOV_B.wav,chickcorneat.jpeg,wolvechickeat.jpeg,f,,,,,
B,Girl_SOV_break,Kreştekiler neşeyle bağırıyor. ,Şeker kız şuradaki bebeği birazdan öpecek.,SOV,girl_SOV_B.wa,girlpuppetkiss.jpeg,womangirlkiss.jpeg,f,,,,,
B,Monkey_SOV_break,Seyirciler sahneye baktı.,Komik maymun şuradaki muzu birazdan ısıracak.,SOV,monkey_SOV_B.wav,lionmonkeybite.jpeg,monkeybananaeat.jpeg,j,,,,,
B,Rabbit_SOV_break,Çiftlikte sıradan bir gün,Hızlı tavşan şuradaki havucu birazdan yiyecek.,SOV,rabbit_SOV_B.wav,foxrabbiteat.jpeg,rabbitcarroteat.jpeg,j,,,,,
